"Form type","Form description","Filing date","Reporting date","Act","Film number(s)","File number(s)","Accession number","Size"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2001-02-12","2000-12-31","","1533057","","0000938582-01-000018","11188"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2001-02-12","","","","","0000938582-01-000017","6331"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2001-02-12","","","","","0000938582-01-000016","6273"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2001-02-12","","","","","0000938582-01-000014","6268"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2001-02-12","","","","","0000938582-01-000013","6232"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2001-02-12","","","","","0000938582-01-000012","6169"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2001-02-12","","","","","0000938582-01-000011","6216"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2001-02-12","","","","","0000938582-01-000010","6236"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2001-02-12","","","","","0000938582-01-000009","6230"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2001-02-12","","","","","0000938582-01-000008","6137"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2001-02-12","","","","","0000938582-01-000007","6307"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2001-02-12","","","","","0000938582-01-000006","6410"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2001-02-12","","","","","0000938582-01-000005","5797"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2001-02-12","","","","","0000938582-01-000004","6195"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2001-02-12","","","","","0000938582-01-000003","6384"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2001-02-12","","","","","0000938582-01-000001","6034"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2000-11-15","2000-09-30","","769682","","0000938582-00-000042","12100"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2000-08-17","2000-06-30","","704501","","0000938582-00-000040","10469"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2000-08-16","2000-06-30","","703991","","0000938582-00-000039","10469"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2000-08-15","","","","","0000938582-00-000038","6519"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2000-08-15","","","","","0000938582-00-000037","6680"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2000-08-15","","","","","0000938582-00-000036","6567"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2000-08-15","","","","","0000938582-00-000035","6589"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2000-08-14","2000-06-30","","700971","","0000938582-00-000034","10459"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2000-06-08","","","","","0000938582-00-000032","6451"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2000-06-08","","","","","0000938582-00-000030","6678"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2000-06-08","","","","","0000938582-00-000029","6568"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2000-06-08","","","","","0000938582-00-000027","6125"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2000-06-08","","","","","0000938582-00-000026","6906"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2000-06-08","","","","","0000938582-00-000025","6406"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2000-05-15","2000-03-31","","636499","","0000938582-00-000024","9846"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2000-04-07","","","","","0000938582-00-000022","6008"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2000-03-06","","","","","0000938582-00-000019","6335"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2000-02-18","","","","","0000938582-00-000018","6402"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2000-02-14","","","","","0000938582-00-000015","6244"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2000-02-14","","","","","0000938582-00-000014","5999"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2000-02-14","","","","","0000938582-00-000013","6103"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2000-02-14","","","","","0000938582-00-000012","6023"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2000-02-14","","","","","0000938582-00-000011","6427"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2000-02-14","","","","","0000938582-00-000010","6337"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2000-02-14","","","","","0000938582-00-000009","6176"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2000-02-14","","","","","0000938582-00-000008","6428"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2000-02-14","1999-12-31","","542254","","0000938582-00-000007","10617"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","1999-12-13","","","","","0000938582-99-000012","6272"
"13F-HR","Quarterly report filed by institutional managers, Holdings","1999-11-16","1999-09-30","","99758171","","0000938582-99-000011","10610"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","1999-10-08","","","","","0000938582-99-000010","6000"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","1999-09-10","","","","","0000938582-99-000008","6344"
"13F-HR","Quarterly report filed by institutional managers, Holdings","1999-08-16","1999-06-30","","99690371","","0000938582-99-000006","8523"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","1999-05-17","1999-03-31","","99625828","","0000938582-99-000004","9479"
"13F-HR","Quarterly report filed by institutional managers, Holdings","1999-05-14","1999-03-31","","99621598","","0000938582-99-000003","9299"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","1999-02-16","","","","","0000915656-99-000016","6677"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","1999-02-16","","","","","0000915656-99-000015","6672"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","1999-02-16","","","","","0000915656-99-000014","6717"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","1999-02-16","","","","","0000915656-99-000013","6893"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","1999-02-16","","","","","0000915656-99-000012","6884"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","1999-02-16","","","","","0000915656-99-000011","7056"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","1999-02-16","","","","","0000915656-99-000010","7156"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","1999-02-16","","","","","0000915656-99-000009","7021"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","1999-02-16","","","","","0000915656-99-000008","6781"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","1999-02-16","","","","","0000915656-99-000007","6701"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","1999-02-16","","","","","0000915656-99-000006","6778"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","1998-02-11","","","","","0000915656-98-000013","7808"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","1998-02-11","","","","","0000915656-98-000011","7584"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","1998-02-11","","","","","0000915656-98-000010","7357"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","1998-02-11","","","","","0000915656-98-000009","7376"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","1998-02-11","","","","","0000915656-98-000008","7260"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","1998-02-11","","","","","0000915656-98-000007","7373"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","1998-02-11","","","","","0000915656-98-000006","7456"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","1998-02-11","","","","","0000915656-98-000005","7413"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","1998-02-11","","","","","0000915656-98-000004","7257"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","1997-04-10","","","","","0000915656-97-000016","7987"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","1997-02-07","","","","","0000938582-97-000008","7949"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","1997-02-07","","","","","0000938582-97-000005","7753"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","1997-02-07","","","","","0000938582-97-000002","7890"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","1997-01-09","","","","","0000949459-97-000025","10790"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","1997-01-08","","","","","0000949459-97-000024","8635"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","1997-01-08","","","","","0000949459-97-000023","8741"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","1997-01-08","","","","","0000949459-97-000022","8716"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","1997-01-08","","","","","0000949459-97-000021","8993"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","1997-01-08","","","","","0000949459-97-000020","9153"
